time	V(rpm)	I(L1)
1.001363986439439e+01	7.427162e+02	2.754026e-01
1.001381086439440e+01	7.422610e+02	2.351166e-01
1.001398186439440e+01	7.417844e+02	1.948680e-01
1.001415286439440e+01	7.412863e+02	1.546566e-01
1.001432386439440e+01	7.407669e+02	1.144825e-01
1.001449486439440e+01	7.402261e+02	7.434562e-02
1.001466586439441e+01	7.396638e+02	3.424607e-02
1.001483686439441e+01	7.390801e+02	-5.816198e-03
1.001500686439441e+01	7.384788e+02	-4.560745e-02
1.001517686439441e+01	7.378565e+02	-8.536228e-02
1.001534686439442e+01	7.372133e+02	-1.250807e-01
1.001551686439442e+01	7.365492e+02	-1.647627e-01
1.001568686439442e+01	7.358642e+02	-2.044082e-01
1.001585686439442e+01	7.351583e+02	-2.440174e-01
1.001602686439442e+01	7.344315e+02	-2.835901e-01
1.001603086439443e+01	7.344141e+02	-2.845208e-01
1.001637186439443e+01	7.328920e+02	-3.637873e-01
1.001671286439443e+01	7.312871e+02	-4.429098e-01
1.001705386439444e+01	7.295995e+02	-5.218883e-01
1.001739486439444e+01	7.278293e+02	-6.007227e-01
1.001773586439445e+01	7.259763e+02	-6.794132e-01
1.001807686439445e+01	7.240406e+02	-7.579595e-01
1.001841786439446e+01	7.220222e+02	-8.363619e-01
1.001841886439446e+01	7.220161e+02	-8.365916e-01
1.002000000000000e+01	7.115950e+02	-1.198275e+00
1.002006841849175e+01	7.111041e+02	-1.209257e+00
1.002013683698349e+01	7.106123e+02	-1.218121e+00
1.002020525547524e+01	7.101198e+02	-1.224867e+00
1.002027367396699e+01	7.096265e+02	-1.229494e+00
1.002034209245874e+01	7.091323e+02	-1.232003e+00
1.002041051095048e+01	7.086373e+02	-1.232393e+00
1.002047892944223e+01	7.081415e+02	-1.230665e+00
1.002530492944220e+01	6.740187e+02	-1.173723e+00
1.002796292944218e+01	6.559221e+02	-1.142213e+00
1.003062092944216e+01	6.382575e+02	-1.111456e+00
1.003327892944214e+01	6.210250e+02	-1.081450e+00
1.003593692944212e+01	6.042245e+02	-1.052197e+00
1.003859492944210e+01	5.878560e+02	-1.023696e+00
1.004125292944208e+01	5.719196e+02	-9.959472e-01
1.004391092944206e+01	5.564152e+02	-9.689507e-01
1.004391192944206e+01	5.564094e+02	-9.689407e-01
1.004656107229919e+01	5.413453e+02	-9.427108e-01
1.004921021515631e+01	5.266397e+02	-9.171052e-01
1.005185935801344e+01	5.122926e+02	-8.921239e-01
1.005450850087056e+01	4.983040e+02	-8.677668e-01
1.005715764372768e+01	4.846740e+02	-8.440340e-01
1.005980678658481e+01	4.714024e+02	-8.209254e-01
1.006245592944193e+01	4.584894e+02	-7.984411e-01
1.006245992944193e+01	4.584702e+02	-7.984076e-01
1.006510992944192e+01	4.458778e+02	-7.764817e-01
1.006775992944190e+01	4.335853e+02	-7.550778e-01
1.007040992944188e+01	4.215926e+02	-7.341959e-01
1.007305992944186e+01	4.098996e+02	-7.138360e-01
